name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"25.0173, 121.5398",2023-10-01T22:00:00,26.0,26.0,23.0,83.49,0.2,100.0,rain,0,0,24.8,14.9,99.0,1012.0,89.0,10.0,0.0,0.0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-01T23:00:00,26.4,26.4,23.4,83.56,0.0,0.0,rain,0,0,22.7,11.6,130.0,1012.6,49.7,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T00:00:00,26.0,26.0,23.0,83.4,0.1,100.0,rain,0,0,20.9,16.6,99.0,1012.0,87.0,10.0,0.0,0.0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T01:00:00,25.0,25.0,23.0,88.33,0.1,100.0,rain,0,0,21.2,14.8,99.0,1012.0,87.7,10.0,0.0,0.0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T02:00:00,26.1,26.1,23.2,84.16,0.0,0.0,rain,0,0,21.6,14.0,90.0,1011.7,89.0,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T03:00:00,26.0,26.0,23.0,83.4,0.0,0.0,rain,0,0,20.5,8.2,118.0,1011.0,89.0,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T04:00:00,26.0,26.0,22.0,78.65,0.2,100.0,rain,0,0,20.9,6.1,40.0,1011.0,89.0,10.0,0.0,0.0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T05:00:00,26.4,26.4,22.1,77.09,0.0,0.0,rain,0,0,19.8,8.7,40.0,1012.2,89.0,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T06:00:00,25.1,25.1,22.0,83.05,0.1,100.0,rain,0,0,22.0,9.9,98.0,1012.0,89.0,10.0,0.0,0.0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T07:00:00,26.0,26.0,22.0,78.57,0.2,100.0,rain,0,0,23.8,4.2,50.0,1012.0,89.0,10.0,1.0,0.0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T08:00:00,26.5,26.5,22.8,79.85,0.0,0.0,rain,0,0,38.9,11.0,178.0,1013.3,89.7,20.0,2.0,0.0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T09:00:00,26.0,26.0,23.0,83.64,0.0,0.0,rain,0,0,22.7,2.6,60.0,1013.0,89.0,10.0,6.0,0.0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T10:00:00,27.0,29.7,23.0,78.7,0.1,100.0,rain,0,0,19.4,10.1,98.0,1013.0,89.0,10.0,19.0,0.1,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T11:00:00,27.2,30.1,23.1,78.13,0.0,0.0,rain,0,0,18.7,14.1,80.0,1012.9,89.7,13.3,35.0,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T12:00:00,27.0,29.2,22.0,74.07,0.0,0.0,rain,0,0,19.8,15.3,79.0,1012.0,89.0,10.0,24.0,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T13:00:00,27.0,29.3,22.0,74.0,0.1,100.0,rain,0,0,48.2,15.3,69.0,1012.0,89.0,10.0,37.0,0.1,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T14:00:00,28.0,30.1,21.0,65.9,0.0,0.0,rain,0,0,19.8,19.0,69.0,1012.0,88.3,10.0,19.0,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T15:00:00,29.0,31.4,21.0,62.06,0.0,0.0,,0,0,19.1,19.0,69.0,1011.0,50.0,10.0,26.0,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T16:00:00,28.0,30.1,21.0,65.71,0.0,0.0,,0,0,19.4,17.1,69.0,1010.0,50.0,10.0,12.0,0.0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T17:00:00,27.0,29.0,21.2,70.61,0.0,0.0,,0,0,19.8,18.3,80.0,1011.3,82.6,15.3,3.0,0.0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T18:00:00,26.0,26.0,20.0,69.69,0.1,100.0,rain,0,0,20.5,11.6,60.0,1011.0,88.3,10.0,0.0,0.0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T19:00:00,25.0,25.0,20.0,73.66,0.0,0.0,,0,0,20.2,9.9,79.0,1012.0,28.8,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T20:00:00,25.5,25.5,20.2,72.86,0.0,0.0,,0,0,20.2,9.9,73.0,1012.8,27.5,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T21:00:00,24.1,24.1,20.0,78.05,0.0,0.0,,0,0,20.2,5.8,89.0,1012.0,49.6,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T22:00:00,25.0,25.0,20.0,73.74,0.0,0.0,,0,0,17.6,5.8,90.0,1012.0,88.4,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-02T23:00:00,25.4,25.4,20.8,75.41,0.0,0.0,,0,0,18.7,9.1,120.0,1012.7,49.3,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-03T00:00:00,24.0,24.0,21.0,83.01,0.0,0.0,,0,0,20.2,7.9,80.0,1012.0,50.6,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-03T01:00:00,24.0,24.0,21.0,83.09,0.0,0.0,,0,0,20.9,4.0,80.0,1011.0,49.3,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-10-03T02:00:00,24.0,24.0,21.1,83.56,0.0,0.0,,0,0,18.0,9.1,140.0,1010.7,49.3,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-10-03T03:00:00,24.0,24.0,21.0,83.25,0.0,0.0,,0,0,11.9,5.7,80.0,1010.0,27.5,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
