name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"25.0173, 121.5398",2023-11-29T00:00:00,21,21,14,64.16,0,0,,0,0,37.1,22.3,81,1018.9,27.9,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T01:00:00,21,21,14,64.16,0,0,,0,0,31,22.3,90,1018,28.2,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T02:00:00,21.4,21.4,14.1,63.22,0,0,,0,0,25.9,18.8,80,1018.2,28.9,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T03:00:00,21,21,14,64.29,0,0,,0,0,22.7,18.2,82,1018,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T04:00:00,22,22,15,64.5,0,0,,0,0,19.1,16.4,81,1018,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T05:00:00,21.9,21.9,14.8,63.93,0,0,,0,0,17.3,12.1,90,1018.5,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T06:00:00,22,22,15,64.5,0,0,,0,0,14.8,12.9,91,1019,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T07:00:00,22,22,15,64.44,0,0,,0,0,11.5,12.9,82,1020,89,10,4,0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T08:00:00,22.9,22.9,16.2,66.05,0,0,,0,0,14,9.7,80,1020.5,89.7,26.7,15,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T09:00:00,25,25,16,57.39,0,0,,0,0,15.1,9.5,81,1021,89,10,13,0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T10:00:00,25,25,16,57.23,0,0,,0,0,14.4,16.3,93,1020,89,10,24,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T11:00:00,25.9,25.9,16.9,57.65,0,0,,0,0,11.9,10.3,89,1019.4,89.7,30.1,30,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T12:00:00,26,26,17,57.92,0,0,,0,0,7.2,5.6,329,1019,89,10,26,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-29T13:00:00,27,27.9,18,58.04,0,0,,0,0,6.1,5.5,300,1019,89,10,29,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
